Altium Designer Pick and Place Locations
C:\Users\jrreb\Documents\Altium\SMT\WatchDogAlarm\WatchDogAlarm_rev1_2\Project Outputs for WatchDogAlarm_rev1_2\Pick Place for WatchDogAlarm_rev1_2.csv

========================================================================================================================
File Design Information:

Date:       22/09/20
Time:       09:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P1","Header 2","TopLayer","HDR1X2","40.700","35.830","270","Header, 2-Pin"
"C12","10uF / 10V","TopLayer","SMD_RC0603","46.600","39.700","180","Capacitor"
"C1","10uF / 10V","TopLayer","SMD_RC0603","16.600","45.200","180","Capacitor"
"C2","100n","TopLayer","SMD_RC0603","16.600","46.800","180","Capacitor"
"C3","10uF / 10V","TopLayer","SMD_RC0603","3.500","44.400","90","Capacitor"
"C4","100n","TopLayer","SMD_RC0603","4.886","22.677","0","Capacitor"
"C5","27p","TopLayer","SMD_RC0603","9.200","20.500","180",""
"C6","4u7 / 10V","TopLayer","SMD_RC0603","6.800","41.500","90","Capacitor"
"C7","27p","TopLayer","SMD_RC0603","9.200","17.400","180",""
"C9","100n","TopLayer","SMD_RC0603","23.900","16.700","360","Capacitor"
"C8","100n","TopLayer","SMD_RC0603","36.000","31.700","270","Capacitor"
"C15","100n","TopLayer","SMD_RC0603","47.200","35.900","270","Capacitor"
"C16","100n","TopLayer","SMD_RC0603","45.600","35.900","270","Capacitor"
"C17","100n","TopLayer","SMD_RC0603","32.600","53.800","360","Capacitor"
"C18","100n","TopLayer","SMD_RC0603","37.300","55.400","360","Capacitor"
"D1","BAT54T1G","TopLayer","SOD-123","13.728","42.209","90",""
"D2","BAT54T1G","TopLayer","SOD-123","10.680","42.209","90",""
"IC1","LPC1756FBD80,551","TopLayer","LQFP80_N","24.900","28.500","0","LPC1756FBD80"
"IC2","LM317AEMP/NOPB","TopLayer","SOT-223","10.553","50.083","90","3-Terminal Adjustable Regulator"
"IC3","IIS2ICLXTR","TopLayer","LGA-16L","44.250","29.200","360",""
"IC4","FT232R","TopLayer","SSOP-28_N","35.000","46.200","90","USB UART Asynchronous Serial Data Transfer Chip, SSOP-28, Tape and Reel"
